test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	sqrt(JS)	test_stat	p_value	q_value	significant
TSS5	XLOC_000005	uc010nyf.1	chr1:1104384-1104467	WT	KD	NOTEST	0	0	0	0	1	1	no
TSS50	XLOC_000030	uc001aer.4,uc002quu.3,uc009vka.3	chr1:1270657-1284506	WT	KD	NOTEST	0	0	0	0	1	1	no
TSS51	XLOC_000030	uc001aer.4,uc002quu.3,uc009vka.3	chr1:1270657-1284506	WT	KD	NOTEST	0	0	0.106759	0	0.14025	1	no
TSS52	XLOC_000031	uc001aew.3,uc001aex.4,uc001aey.4,uc001aez.3,uc001afa.3	chr1:1288070-1297157	WT	KD	NOTEST	0	0	0.0913664	0	0.06855	1	no
TSS53	XLOC_000031	uc001aew.3,uc001aex.4,uc001aey.4,uc001aez.3,uc001afa.3	chr1:1288070-1297157	WT	KD	NOTEST	0	0	0	0	1	1	no
TSS54	XLOC_000032	uc001afb.1,uc001afc.2,uc001afd.2,uc009vkb.1	chr1:1309109-1310818	WT	KD	NOTEST	0	0	0	0	1	1	no
TSS55	XLOC_000032	uc001afb.1,uc001afc.2,uc001afd.2,uc009vkb.1	chr1:1309109-1310818	WT	KD	NOTEST	0	0	0.161244	0	0.1193	1	no
TSS56	XLOC_000032	uc001afb.1,uc001afc.2,uc001afd.2,uc009vkb.1	chr1:1309109-1310818	WT	KD	NOTEST	0	0	0	0	1	1	no
TSS57	XLOC_000033	uc001aff.1,uc001afg.1,uc001afi.2,uc001afj.2,uc010nym.1,uc021oep.1	chr1:1321090-1334718	WT	KD	NOTEST	0	0	0	0	1	1	no
TSS58	XLOC_000033	uc001aff.1,uc001afg.1,uc001afi.2,uc001afj.2,uc010nym.1,uc021oep.1	chr1:1321090-1334718	WT	KD	NOTEST	0	0	0	0	1	1	no
TSS59	XLOC_000033	uc001aff.1,uc001afg.1,uc001afi.2,uc001afj.2,uc010nym.1,uc021oep.1	chr1:1321090-1334718	WT	KD	NOTEST	0	0	0	0	1	1	no
TSS6	XLOC_000006	uc001acy.2,uc001acz.2,uc010nyg.1	chr1:1108435-1133313	WT	KD	NOTEST	0	0	0	0	1	1	no
TSS60	XLOC_000033	uc001aff.1,uc001afg.1,uc001afi.2,uc001afj.2,uc010nym.1,uc021oep.1	chr1:1321090-1334718	WT	KD	NOTEST	0	0	0	0	1	1	no
TSS61	XLOC_000033	uc001aff.1,uc001afg.1,uc001afi.2,uc001afj.2,uc010nym.1,uc021oep.1	chr1:1321090-1334718	WT	KD	NOTEST	0	0	0.139463	0	0.54375	1	no
TSS62	XLOC_000034	uc001afo.4,uc010nyn.1	chr1:1334909-1342693	WT	KD	NOTEST	0	0	0.0411658	0	0.6164	1	no
TSS63	XLOC_000035	uc001afp.3,uc001afq.3,uc010nyo.2	chr1:1353799-1356824	WT	KD	NOTEST	0	0	0	0	1	1	no
TSS64	XLOC_000036	uc009vkf.3	chr1:1470157-1475740	WT	KD	NOTEST	0	0	0	0	1	1	no
TSS65	XLOC_000037	uc001agd.3,uc001age.1,uc009vkg.1	chr1:1477052-1510262	WT	KD	NOTEST	0	0	0.0321756	0	0.02205	1	no
TSS7	XLOC_000006	uc001acy.2,uc001acz.2,uc010nyg.1	chr1:1108435-1133313	WT	KD	NOTEST	0	0	0	0	1	1	no
TSS8	XLOC_000007	uc001adk.3	chr1:1167628-1170420	WT	KD	NOTEST	0	0	0	0	1	1	no
TSS9	XLOC_000008	uc001adt.1,uc001adu.1,uc001adv.2,uc001adw.2,uc001adx.2	chr1:1215815-1227409	WT	KD	NOTEST	0	0	0	0	1	1	no
