test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
XLOC_000028	XLOC_000028	uc001ady.2,uc001aea.2,uc001aeb.2,uc001aec.1	chr1:1227763-1260067	WT	KD	OK	9143.99	14269.3	0.642016	3.49293	5e-05	0.000135714	yes
XLOC_000029	XLOC_000029	uc001aee.2,uc001aef.2,uc001aeg.2,uc001aeh.2,uc001aei.2,uc001aek.2,uc001ael.3,uc001aen.2,uc009vjy.1,uc009vjz.2,uc010nyj.2	chr1:1227763-1260067	WT	KD	OK	17055.4	14516.7	-0.232519	-1.37827	0.0434	0.0634308	no
XLOC_000030	XLOC_000030	uc001aer.4,uc002quu.3,uc009vka.3	chr1:1270657-1284506	WT	KD	OK	19563	16105.1	-0.280602	-1.87018	0.0067	0.01273	yes
XLOC_000031	XLOC_000031	uc001aew.3,uc001aex.4,uc001aey.4,uc001aez.3,uc001afa.3	chr1:1288070-1297157	WT	KD	OK	100224	123897	0.305913	5.28487	5e-05	0.000135714	yes
XLOC_000032	XLOC_000032	uc001afb.1,uc001afc.2,uc001afd.2,uc009vkb.1	chr1:1309109-1310818	WT	KD	OK	72738.1	70252.9	-0.0501543	-0.372761	0.59705	0.667291	no
XLOC_000033	XLOC_000033	uc001aff.1,uc001afg.1,uc001afi.2,uc001afj.2,uc010nym.1,uc021oep.1	chr1:1321090-1334718	WT	KD	OK	13490.9	18527.5	0.457683	3.50255	5e-05	0.000135714	yes
XLOC_000034	XLOC_000034	uc001afo.4,uc010nyn.1	chr1:1334909-1342693	WT	KD	OK	70066.4	61133.6	-0.196757	-0.479637	0.45925	0.581717	no
XLOC_000035	XLOC_000035	uc001afp.3,uc001afq.3,uc010nyo.2	chr1:1353799-1356824	WT	KD	NOTEST	40.0618	0	-inf	0	1	1	no
XLOC_000036	XLOC_000036	uc009vkf.3	chr1:1470157-1475740	WT	KD	OK	1453.14	2049.79	0.496299	0.62607	0.3829	0.51965	no
XLOC_000037	XLOC_000037	uc001agd.3,uc001age.1,uc009vkg.1	chr1:1477052-1510262	WT	KD	OK	48112.6	55839.4	0.214869	2.01274	0.00285	0.00601667	yes
