name	mrna_length	genome_length	exon_count
RSC1A1	1853	1853	1
SLC25A34	3070	5076	5
LOC388595	1518	5559	6
FBLIM1	3351	27832	9
SPEN	12227	92592	15
ZBTB17	2636	34149	16
C1orf64	917	2450	2
HSPB7	2556	4427	3
CLCNKB	2160	13125	20
C1orf117	1668	15831	7
EPHA2	3945	31732	17
ARHGEF19	3029	14506	16
C1orf89	1333	5251	5
FBXO42	2975	102389	10
C1orf144	1671	29145	3
SPATA21	2015	38782	13
NECAP2	2003	19340	8
LOC440570	2518	3134	2
NBPF10	2705	28278	19
CROCC	6642	51016	37
MFAP2	1067	6141	9
ATP13A2	3840	25815	29
TRADD	1482	5724	5
RNF125	5888	54710	6
GJA5	3156	4383	2
PEAR1	4866	22704	23
PRSS23	3804	10783	2
METTL1	1825	4082	6
ZMPSTE24	3154	36124	10
C1orf34	2889	35157	18
PADI4	2263	55804	16
PADI6	2347	29455	16
RCC2	4064	32942	13
ARHGEF10L	4493	158040	29
ACTL8	1823	71713	3
IGSF21	1943	270737	10
PAX7	2259	105132	8
ALDH4A1	3160	31147	15
ZUBR1	15880	135745	106
KIAA0090	4237	33462	23
AFAR3	1982	7958	5
AKR7A3	1241	6224	7
AKR7A2	1357	8177	7
CAPZB	1630	146720	9
C1orf151	2589	31708	4
NBL1	2054	15220	4
HTR6	1983	14275	3
TMCO4	2943	117674	16
RNF186	1249	1249	1
PLA2G2E	486	3310	4
PLA2G2A	970	4979	6
PLA2G2D	2621	7568	4
PLA2G2F	2716	11054	5
UBXD3	2971	7364	2
FLJ32784	3725	48286	15
C1orf166	2436	8712	4
FAM43B	2569	2569	1
CDA	957	29955	4
FGR	2425	14305	13
KIF17	3969	54002	15
HP1BP3	1855	37406	13
FLJ37464	2131	21025	12
OVCA2	1075	1448	2
UBTF	4570	13263	20
ECE1	2409	70556	19
NBPF3	3765	44762	15
DYRK1A	6579	96472	11
RAP1GAP	3270	73085	25
USP48	4462	104895	27
LDLRAD2	4012	12957	5
HSPG2	14284	115010	97
ELA3B	1001	12428	8
ELA3A	905	10885	8
WNT4	1594	23411	5
ZBTB40	6028	76631	18
EPHA8	1844	26100	5
C1QA	1097	3057	3
C1QC	1138	4456	3
C1QB	1043	8347	3
COL11A2	6104	29776	63
AOF2	3030	64239	19
LUZP1	7539	83888	5
HTR1D	2834	2834	1
HNRPR	2662	34508	11
C1orf213	887	2815	3
TCEA3	1586	43707	11
DDEFL1	4050	55616	25
E2F2	5192	24792	7
ID3	1204	1830	3
RPL11	607	4620	6
TCEB3	2671	16422	11
C1orf128	1608	9833	6
LYPLA2	1622	4382	10
GALE	1631	4946	12
HMGCL	1607	23582	9
FUCA1	2077	23248	8
CNR2	1774	39357	2
PNRC2	2367	3602	3
FUSIP1	1842	13883	6
MYOM3	4856	38959	29
IL22RA1	2798	23351	7
IL28RA	4548	33104	7
GRHL3	2799	35927	16
C1orf201	2500	44460	7
NPAL3	5278	57081	12
DSCR1L2	1697	33039	5
NRG1	1700	195016	7
CLIC4	4289	98911	6
HDGFL1	1072	1072	1
SDHB	1143	35439	8
C1orf63	1464	5245	5
RHD	2832	57955	10
TMEM50A	2278	24040	7
RHCE	1617	58623	10
TMEM57	3137	68510	11
LDLRAP1	2843	25210	9
MAN1C1	2878	166977	12
SEPN1	4332	18047	13
FAM54B	2097	12744	7
C1orf135	2061	25352	3
PAQR7	3022	9769	2
C1orf215	1783	8427	2
STMN1	1713	6037	5
PAFAH2	2524	37334	11
RYBP	4442	72024	4
MUC4	4398	64235	24
SLC30A2	2473	8091	8
TRIM63	1764	16324	9
PDIK1L	4277	13705	4
ZNF593	603	931	3
CNKSR1	2512	12371	21
CATSPER4	1418	11914	10
CCDC21	3935	44607	14
SLC12A6	7687	107764	26
SBF2	7305	515407	40
UBXD5	1851	24421	16
CD52	504	2603	2
ZNF683	1709	11141	7
DHDDS	3297	38992	9
HMGN2	1285	3548	6
RPS6KA1	3199	45272	22
C20orf133	4860	2057694	17
NUF2	1843	33831	14
PIGV	2364	10401	4
ZDHHC18	3135	29007	8
SFN	1315	1315	1
ATPBD1B	1510	10997	5
GPATCH3	2123	9978	7
NR0B2	1160	2482	2
NUDC	1327	24664	9
C1orf172	1785	10837	4
LOC388610	1713	6947	2
FAM46B	2366	7815	2
SLC9A1	4515	56095	12
WDTC1	4275	73577	16
C1orf160	1527	14169	6
SYTL1	1898	11909	15
MAP3K6	4328	11668	29
FCN3	1030	5713	8
GPR3	2108	3164	2
WASF2	4270	84544	9
AHDC1	5699	68921	6
PIGT	2228	10161	12
FAM76A	2048	35625	9
STX12	2841	51032	9
PPP1R8	2590	20891	6
C1orf38	1235	14138	4
RPA2	1719	23187	9
SMPDL3B	1593	21487	7
XKR8	2158	8101	3
EYA3	2045	114313	18
PTAFR	1796	27328	2
ATPIF1	525	1999	3
SESN2	3484	22996	10
MED18	1830	6927	3
SCYL1	2649	13635	18
SNHG3-RCC1	2573	33112	12
MGC4655	2704	2897	2
MATK	1914	8448	13
RAB42	1081	2375	2
TAF12	1090	39973	6
GMEB1	1960	46142	10
FLJ20699	2608	26043	14
OPRD1	1774	51555	3
EPB41	6193	233331	19
HEYL	4113	16245	5
SFRS4	2139	33997	6
MECR	2434	38070	10
ZNF579	2166	3319	2
PHF20	5889	178366	18
PTPN23	5263	32441	25
LRRC21	2301	9942	4
WNT8B	1994	20586	6
PTPRU	5563	90269	30
MATN1	2411	10890	8
LAPTM5	2223	25352	8
SDC3	1452	35499	5
PUM1	5385	134212	22
FAM77C	2493	8408	6
ZCCHC17	1602	67939	8
FABP3	1097	7824	4
SERINC2	1996	21562	10
TINAGL1	2161	11126	12
HCRTR1	1564	8074	7
PEF1	1610	15007	5
PCOLN3	2353	13285	7
DEFB104B	280	4774	2
DEFB104A	280	4774	2
DEFB106B	303	3884	2
DEFB106A	303	3884	2
DEFB105B	236	1830	3
DEFB107B	389	13466	2
UBL5	519	2230	5
ADCY2	6553	433852	25
SPOCD1	3888	25556	16
PTP4A2	2158	30196	6
KHDRBS1	2684	29981	9
TMEM39B	1790	29937	9
UBN1	5968	34446	18
TXLNA	4795	18541	11
IQCC	2017	3017	5
EIF3S2	1457	9234	11
HDAC1	2091	41517	14
MARCKSL1	1534	2383	2
TSSK3	1313	2061	2
BSDC1	4584	29241	10
ZBTB8OS	715	28879	7
RBBP4	2308	29429	12
SYNC1	2097	14896	4
FLJ25770	1928	94309	15
YARS	3117	42794	13
S100PBP	1483	17490	7
FNDC5	2657	8471	6
HPCA	1405	8149	4
TMEM54	993	6758	6
IBRDC3	1987	27668	9
AK2	3606	28907	7
ADC	2181	39281	12
TRIM62	3436	36264	5
FLJ25476	3106	44147	9
STIL	5016	64009	17
WDR57	1624	37230	10
PHC2	2566	26276	7
ZNF31	3995	23735	9
CENTD2	4947	42059	33
ALG8	1743	38712	14
HMGB4	2342	4316	2
C1orf94	2284	41459	7
GJB5	1281	3392	2
GJB4	1150	1150	1
GJB3	2216	5175	2
GJA4	1620	2748	2
C1orf212	2528	6222	2
SKAP1	1576	296793	13
SFPQ	3063	9533	10
ZMYM4	6993	152977	30
KIAA0319L	4778	123913	21
NCDN	3431	8986	8
TFAP2E	2185	21955	7
PSMB2	844	38404	6
FLJ38984	2934	5314	2
CLSPN	4377	33732	25
EIF2C4	4758	47361	18
EIF2C1	7476	41088	19
EIF2C3	3555	125291	19
TEKT2	1508	4200	10
ADPRHL2	1657	5047	6
COL8A2	4443	5005	2
TRAPPC3	1260	12893	5
MAP7D1	3319	24634	17
THRAP3	3601	80111	12
C1orf113	3179	17767	12
C1orf78	1054	2124	3
STK40	3846	46261	12
LSM10	850	4463	2
C1orf102	1484	32545	11
MRPS15	883	8597	8
CSF3R	3002	16865	17
GRIK3	3733	233231	16
ZC3H12A	2680	9824	6
C1orf149	2147	22189	8
SNIP1	2468	17759	4
DNALI1	2648	9938	6
GNL2	2307	29079	16
RSPO1	2985	23541	9
C1orf109	2347	8943	5
CDCA8	2301	17231	11
EPHA10	2258	42803	16
MANEAL	2106	7030	4
YRDC	1836	5252	5
C1orf122	822	1158	3
TNNT3	1008	15849	15
SF3A3	2834	33108	17
FHL3	1702	8791	6
UTP11L	1014	11078	8
RRAGC	1426	20320	7
MYCBP	2090	10414	5
GJA10	2313	7551	2
RHBDL2	1837	55978	8
C1orf108	1967	14063	5
NDUFS5	510	8281	3
MACF1	17821	405672	95
PABPC4	3048	15929	16
NT5C1A	1107	12918	6
HPCAL4	4252	12438	4
PPIE	1300	14849	10
BMP8B	3773	30631	7
OXCT2	1823	1823	1
TRIT1	2106	42450	11
MYCL1	3622	6590	2
MFSD2	2135	14818	14
CAP1	2602	31893	13
PPT1	2328	24585	9
RLF	6228	79531	8
TMCO2	739	3791	2
LOC644168	807	25747	6
COL9A2	2831	16777	32
SMAP1L	2574	49265	10
ZNF643	1976	13574	5
OR3A2	1084	1084	1
KIAA1303	6856	421549	34
C1orf176	2201	7780	3
ZNF684	2095	16607	5
RIMS3	7229	44973	8
NFYC	1964	79909	10
KCNQ4	2335	54677	14
CITED4	1290	1290	1
CTPS	2756	32786	19
SLFNL1	1953	6119	5
SCMH1	3285	134172	16
EDN2	1193	5849	5
FSIP1	2811	182806	12
GUCA2B	597	2404	3
GUCA2A	575	2034	3
FOXJ3	5230	158693	13
FAM80A	1498	34362	5
ZMYND12	1669	25833	8
IDS	5755	26492	9
PPIH	799	18381	10
USP44	3326	31734	6
CLDN19	2859	7162	5
LEPRE1	2993	20638	14
C1orf50	988	8471	5
CCDC23	652	10191	3
ERMAP	3455	27885	12
ZNF691	1573	5865	2
SLC2A1	2851	32983	10
EBNA1BP2	1321	8076	9
WDR65	3012	38524	11
TMEM125	1638	3266	3
C1orf210	1462	3681	3
TIE1	3881	22115	23
MPL	3644	16660	12
LOC780776	1768	57845	9
ELOVL1	1482	4627	8
MED8	1486	5895	8
C1orf84	1187	17009	5
KIAA0467	10217	29508	57
HYI	968	3090	8
ANKRD36	737	5029	3
C20orf71	999	10423	6
C3orf48	1607	32312	4
PTPN20B	2872	90883	10
FUBP3	3160	58783	19
ST3GAL3	2242	223613	12
ZNF699	2094	9810	5
SPINT4	380	3348	3
ARTN	1892	3893	5
IPO13	3592	20782	20
DPH2	1813	3391	5
ATP6V0B	972	3370	7
B4GALT2	2208	11974	7
CCDC24	1459	4917	9
SLC6A9	3212	20842	13
GLDN	5081	66495	10
DMAP1	1585	7227	11
PRNPIP	1742	134197	9
C1orf164	3010	246437	15
TMEM53	1599	20598	3
MGC33556	2113	50868	10
KIF2C	2787	27856	21
RPS8	704	3166	6
PLK3	2357	5631	15
LOC343521	1260	1368	2
PTCH2	3623	20529	22
EIF2B3	1659	135833	12
HECTD3	3407	8587	21
UROD	1383	3512	10
GLOXD1	1800	1800	1
MUTYH	1888	11229	16
TOE1	2115	4032	8
MMACHC	2220	10736	5
PRDX1	1233	10902	6
AKR1A1	1534	19223	10
NASP	3223	34851	15
FAM12B	894	2520	2
GPBP1L1	3383	33831	11
IPP	3034	47725	8
NBR1	4654	143209	21
PIK3R3	5607	92501	10
TSPAN1	1278	5419	8
FLJ22167	2889	18154	7
C1orf190	2092	68320	3
RAD54L	3096	30729	18
LRRC41	2947	24966	10
UQCRH	524	13066	4
NSUN4	4436	24301	6
FAAH	2034	19521	15
DMBX1	2882	7217	4
FLJ32011	2320	4369	3
MKNK1	2718	46796	14
MOBKL2C	2799	7414	4
KIAA0494	5765	43904	11
CYP4B1	2147	20344	12
CYP4A11	2811	12570	12
CYP4X1	2356	27183	12
CYP4Z1	1907	50833	12
CYP4A22	1668	11420	12
PDZK1IP1	894	6511	4
TAL1	5001	13480	4
CMPK	2810	44923	6
FOXD2	4674	4674	1
SLC5A9	3227	25913	15
SPATA6	1739	173568	13
AGBL4	3938	461845	7
C1orf165	1364	48962	6
ELAVL4	1571	92417	7
FAF1	2583	519002	19
SIGLEC7	1754	11226	7
CDKN2C	2086	5939	3
RNF11	3138	37239	3
EPS15	5219	165060	25
OSBPL9	2905	171373	24
NRD1	3820	89540	33
RAB3B	1547	71512	5
TXNDC12	1596	35241	7
KTI12	1696	1696	1
BTF3L4	2201	32090	6
ZFYVE9	2624	121673	5
CC2D1B	5639	15598	24
ORC1L	3156	31630	17
PRPF38A	2613	13615	10
ZCCHC11	5829	129794	30
GPX7	1227	6679	3
CEMP1	1374	1374	1
C1orf163	1614	11525	3
ZYG11B	6404	99145	14
CLCN5	9505	31678	12
ECHDC2	1126	25494	9
SCP2	2043	66955	11
PODN	3009	23289	11
SLC1A7	2636	55394	11
CPT2	3092	17767	5
C1orf123	1082	6516	8
MAGOH	679	11642	5
LRP8	4097	82610	17
DMRTB1	1907	8087	4
GLIS1	2816	227972	10
TMEM48	2519	70786	18
YIPF1	1803	38047	11
DIO1	1859	16898	4
LRRC42	1714	21803	8
LDLRAD1	785	9298	6
TMEM59	1694	21761	8
C1orf83	4097	46143	5
CDCP2	2723	14776	4
LOC606495	837	13859	6
MRPL37	1477	18211	7
SSBP3	2013	179784	17
C1orf191	1026	1026	1
ACOT11	3082	62100	16
C1orf179	1975	14345	8
C1orf175	4349	68496	24
TTC4	1984	26425	10
PARS2	2345	7615	2
TTC22	2148	16647	6
C1orf177	1775	36188	11
TPM3	7096	30320	10
TMEM61	1096	11501	3
BSND	1369	9848	4
PCSK9	3636	25304	12
FLJ45337	4063	153966	3
PPAP2B	3292	84823	6
PRKAA2	2435	63102	9
C1orf168	3134	100567	20
C8A	2356	63416	11
C8B	2035	36804	12
DAB1	2580	1252633	17
OMA1	1908	66055	9
TACSTD2	2803	2803	1
JUN	3321	3321	1
FLJ10986	1895	465659	16
AHCYL1	4021	39056	17
ACAD8	2199	12311	11
CYP2J2	1856	33443	9
C1orf87	2011	83360	12
NFIA	2644	373735	10
TM2D1	1250	44377	7
USP40	5375	85702	30
RERE	8192	465234	24
CLCNKA	2532	12059	20
DBNDD2	1139	4575	4
L1TD1	3034	16683	4
ANKRD38	4493	82263	10
USP1	3507	15499	9
DOCK7	7050	233571	49
ANGPTL3	2126	7994	7
ATG4C	1806	80247	11
FOXD3	1437	1437	1
ALG6	1977	69579	15
ITGB3BP	879	82374	9
KIAA1799	2105	49096	14
PGM1	2470	66968	11
ROR1	3358	404994	9
UBE2U	1136	40538	9
CDC20	1672	4246	11
CDC16	2293	37789	18
RAVER2	4359	88135	12
LOC153328	1880	38072	5
GPRASP1	4917	5520	3
AK3L1	2232	79942	6
AK3L2	670	77768	5
DNAJC6	5750	151123	19
LEPR	3084	209776	20
LEPROT	1132	11931	4
PDE4B	4302	582069	17
COL4A2	6261	205741	48
TCTEX1D1	2002	26329	5
INSL5	714	3515	2
WDR78	3843	111998	17
MIER1	5487	63661	14
SLC35D1	1271	49877	12
C1orf141	2143	36362	7
IL23R	2812	93480	11
IL12RB2	4039	89536	16
SERBP1	6762	22629	8
GADD45A	1355	3137	4
DIRAS3	1629	4814	2
GPR177	2066	134102	12
RPE65	2608	21136	14
DEPDC1	3285	21769	11
KIAA1522	5412	33060	7
LRRC40	2847	60779	15
SFRS11	2774	46319	13
ANKRD13C	2789	92855	13
HHLA3	800	13211	3
CTH	1804	28298	12
PTGER3	2080	195456	6
VPS41	4818	185257	28
ZRANB2	2917	17771	11
NEGR1	5668	879652	7
LRRC44	1586	18236	4
FPGT	3426	9195	4
TNNI3K	3001	309024	25
C1orf173	7158	105627	15
CRYZ	1887	27544	9
TYW3	2380	32469	6
LHX8	2371	33098	10
SLC44A5	2283	404487	24
ACADM	2192	38902	12
RABGGTB	1496	8879	9
MSH4	3203	116294	20
ASB17	1105	13557	3
ST6GALNAC3	3207	556229	5
ST6GALNAC5	2030	196550	5
PIGA	2945	16081	6
AK5	3243	277911	14
ZZZ3	4322	118153	15
USP33	4502	63862	25
FAM73A	5259	98769	16
C1orf118	2271	8192	4
GYLTL1B	2534	7458	14
FUBP1	2882	31185	20
DNAJB4	2235	12358	3
GIPC2	2822	91523	6
PTGFR	5359	49658	3
IFI44L	2052	21921	9
IFI44	1681	14242	9
LPHN2	5705	192025	20
PRKACB	1842	127233	9
SAMD13	1565	52431	4
DNASE2B	1259	16477	6
BXDC5	1265	18404	9
GNG5	701	8152	4
SPATA1	1497	46755	13
CTBS	1618	19877	7
C1orf180	2884	6791	3
SSX2IP	5628	46582	15
EDG7	1129	52342	2
MCOLN2	3043	71530	14
MCOLN3	2795	30404	13
WDR63	2991	70813	23
C1orf52	1214	7670	3
DDAH1	3919	146655	6
CYR61	2018	2930	5
C1orf181	2796	55610	10
GJA3	5205	22789	2
ODF2L	2161	47583	16
CLCA2	3966	32414	14
CLCA4	3204	33670	14
PTPN20A	2076	90540	6
SEP15	1838	51978	5
HS2ST1	6714	195303	7
LOC339524	2375	2621	2
LMO4	2049	17100	5
LGALS9	1763	18412	11
CASC3	4180	31925	14
GTF2B	1302	38638	7
CCBL2	2025	57061	14
RBMXL1	3877	12395	2
SFRS2B	4332	4332	1
CLEC2D	5249	29731	6
GBP1	2879	12886	11
GBP2	2595	18490	11
GBP7	2418	44254	11
GBP4	5447	17105	11
GBP5	2407	12267	12
GBP6	2986	22403	11
LRRC8B	3589	34944	6
LRRC8C	2576	81820	3
LRRC8D	3311	114047	3
ZNF326	2407	33102	12
BARHL2	1495	5215	3
ZNF644	2053	106171	4
SEC63D1	2668	91873	21
CDC7	3171	24870	12
TGFBR3	4199	203669	17
BRDT	3141	64852	19
ABHD7	1418	33536	7
BTBD8	1408	67501	9
C1orf146	750	27794	6
C1orf82	3024	89123	13
GFI1	2783	12112	7
EVI5	7402	283708	18
RPL5	1030	9887	8
FAM69A	640	128561	5
MTF2	2562	58281	15
TMED5	3953	28836	4
CCDC18	4654	98347	28
DR1	3206	16669	3
FNBP1L	5190	106378	14
BCAR3	3169	120036	12
DNTTIP2	2378	9405	7
GCLM	3074	22423	7
PTPRD	8847	2298263	40
ARHGAP29	5568	65296	23
ABCD3	3403	100074	23
F3	2154	12443	6
SLC44A3	2060	74432	14
CNN3	2031	30194	7
ALG14	1015	90187	4
TMEM56	2443	75891	7
RWDD3	1072	13007	3
PTBP2	3024	92969	14
L2HGDH	6095	69796	10
TP53	2640	19198	11
SNX7	1798	98842	9
PAP2D	3998	114647	6
LPPR4	4968	45237	7
PALMD	2566	48655	8
FRRS1	2678	57091	17
RYK	2931	93609	15
MCCC1	2533	84358	19
PROL1	1039	12312	3
F11	3278	23718	15
COLQ	2520	71618	13
TMEM158	1858	1858	1
RASSF1	1753	7679	5
SLC35A3	2149	53467	8
HIAT1	2635	45139	12
SASS6	3895	49408	17
CCDC76	3129	17335	11
LRRC39	1392	29359	10
LRRC37A	5175	42643	14
RTCD1	1537	25565	11
CDC14A	1880	132240	11
VCAM1	3100	19303	9
EXTL2	2851	22478	5
SLC30A7	5851	83315	11
C17orf63	4196	86845	4
CD70	912	5313	3
EDG1	2897	4619	2
OLFM3	3212	194414	6
TTC23	3439	113287	12
RAB6B	5558	71610	8
CCDC100	4676	78673	21
RAB24	1611	2545	8
C1orf91	1080	6127	5
LOC645745	316	316	1
CYB5R2	1347	8495	9
ANKDD1A	3110	46939	15
CC2D1A	3542	24640	29
RNPC3	763	58215	5
AMY2B	2177	24826	12
AMY2A	1625	8395	10
AMY1A	1780	9032	11
AMY1C	1860	8870	11
AMY1B	1838	8848	11
PRMT6	2506	2506	1
NTNG1	2928	341727	6
DLG3	6000	60614	19
SLC25A24	3323	57915	10
CT47.5	1293	3318	3
FAM102B	5211	78850	11
C1orf59	1867	13225	8
PRPF38B	3238	9026	6
FNDC7	2384	20333	9
GPSM2	2783	53192	15
CLCC1	4685	33982	12
WDR47	4239	71899	15
TAF13	577	11627	4
C1orf119	2749	6151	3
KIAA1324	3397	89321	23
SARS	1895	24246	11
CELSR2	10534	25732	34
PSRC1	1617	3593	8
MYBPHL	1372	14677	9
SORT1	7018	88372	20
PSMA5	968	24560	9
MTG1	1613	26553	11
CYB561D1	3326	4756	3
AMIGO1	2438	2858	2
GPR61	2461	5949	4
GNAI3	3138	45675	9
KRT3	2309	6423	9
AMPD2	3732	12219	18
GSTM4	1411	5619	8
SCN7A	5727	81940	25
GSTM2	1153	7217	8
GSTM1	1160	5925	8
GSTM5	1567	6024	8
GSTM3	3948	6487	8
EPS8L3	2148	13863	19
CSF1	1519	14368	9
NKX6-1	1116	4952	3
PHF20L1	6261	73447	21
FAM40A	3254	20015	21
RYR1	15375	153864	105
UBL4B	1507	1507	1
SLC6A17	6417	51714	12
KCNC4	1854	12640	2
RBM15	3431	7359	3
SLC16A4	2529	28132	9
HBXIP	846	6668	4
PROK1	1370	6187	3
KCNA10	1959	1959	1
KCNA2	2125	2570	2
KCNA3	3346	3346	1
MAPK3	1876	9205	9
C1orf103	1807	16755	3
TMEM77	1759	22758	9
CEPT1	2251	45476	9
DENND2D	2042	13481	12
CHI3L2	1438	15780	10
LOC149620	2828	6049	9
CHIA	1416	29696	11
C1orf88	2282	6381	6
OVGP1	2241	13462	11
WDR77	2407	9318	10
ATP5F1	2099	12781	7
C1orf162	916	4530	6
ADORA3	1515	20139	6
RAP1A	1905	93696	9
C1orf183	2272	13653	2
DDX20	3445	11945	11
KCND3	2693	213324	8
CTTNBP2NL	4268	63355	6
WNT2B	2013	53866	6
ST7L	4525	95898	15
YARS2	2159	9396	5
PHF11	1648	33316	10
CAPZA1	2740	52167	10
MOV10	3308	25891	20
PPM1J	1714	5335	10
FAM19A3	1131	6666	5
LRIG2	4015	51512	18
MAGI3	3821	291596	22
PHTF1	2795	61515	19
RSBN1	6592	50616	7
PTPN22	3600	57895	21
C1orf178	170	6278	2
AP4B1	2434	10015	11
DCLRE1B	3649	8655	4
HIPK1	3422	42698	15
OLFML3	1814	2846	3
EPHB2	4868	204492	16
TRIM33	8337	118381	20
BCAS2	1299	14083	7
C1QDC2	1036	4270	8
PADI1	3847	40881	16
AMPD1	2341	22455	16
NRAS	1954	9931	7
CSDE1	4115	41087	20
SIKE	2183	7896	5
SYCP1	3488	140534	32
IL31RA	2392	65647	15
TSPAN2	3205	41482	8
NGFB	1049	52321	3
VANGL1	8691	56272	8
NLRP1	5390	70394	15
NHLH2	2509	4747	3
SLC22A15	4067	92904	12
C1orf161	3229	23486	7
ATP1A1	3698	31559	23
CD58	1040	56447	6
IGSF3	7193	93284	11
C1orf137	386	12492	4
CD2	1514	14749	5
PTGFRN	6160	80284	9
IGSF2	3324	34606	10
TTF2	4852	42541	23
TRIM45	3568	10722	6
MAN1A2	5388	158236	13
GDAP2	2848	60167	14
WDR3	3849	30659	28
SPAG17	7111	231547	49
TBX15	3495	106514	8
WARS2	2796	109447	6
HAO2	1696	25350	9
HSD3B2	1667	7877	4
PHGDH	1911	32327	12
