"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection"
"27",1,NA,1,78,14,1,0.071,0.013,"KEGG:05416","keg",1,"Viral myocarditis",2,"MM.268903"
"28",1,NA,1,199,14,1,0.071,0.005,"KEGG:04024","keg",1,"cAMP signaling pathway",2,"MM.157091"
"29",1,NA,0.543,91,14,2,0.143,0.022,"KEGG:05414","keg",1,"Dilated cardiomyopathy",2,"MM.330223,MM.157091"
"30",1,NA,1,75,14,1,0.071,0.013,"KEGG:05412","keg",1,"Arrhythmogenic right ventricular cardiomyopathy (ARVC)",2,"MM.330223"
"31",1,NA,1,129,14,1,0.071,0.008,"KEGG:04270","keg",1,"Vascular smooth muscle contraction",2,"MM.157091"
"32",1,NA,1,148,14,2,0.143,0.014,"KEGG:04261","keg",1,"Adrenergic signaling in cardiomyocytes",2,"MM.330223,MM.157091"
"33",1,NA,1,71,14,1,0.071,0.014,"KEGG:04976","keg",1,"Bile secretion",2,"MM.157091"
"34",1,NA,0.498,87,14,2,0.143,0.023,"KEGG:04911","keg",1,"Insulin secretion",2,"MM.157091,MM.5083"
"35",1,NA,1,56,14,1,0.071,0.018,"KEGG:04923","keg",1,"Regulation of lipolysis in adipocytes",2,"MM.157091"
"36",1,NA,1,133,14,1,0.071,0.008,"KEGG:04068","keg",1,"FoxO signaling pathway",2,"MM.192111"
"37",1,NA,1,44,14,1,0.071,0.023,"KEGG:03420","keg",1,"Nucleotide excision repair",2,"MM.29405"
"38",1,NA,1,28,14,1,0.071,0.036,"KEGG:01040","keg",1,"Biosynthesis of unsaturated fatty acids",2,"MM.480594"
"39",1,NA,1,168,14,1,0.071,0.006,"KEGG:05164","keg",1,"Influenza A",2,"MM.4113"
"40",1,NA,1,52,14,1,0.071,0.019,"KEGG:01212","keg",1,"Fatty acid metabolism",2,"MM.480594"
"41",1,NA,0.139,165,14,3,0.214,0.018,"KEGG:03013","keg",1,"RNA transport",2,"MM.4113,MM.268903,MM.328831"
"42",1,NA,1,137,14,1,0.071,0.007,"KEGG:04120","keg",1,"Ubiquitin mediated proteolysis",2,"MM.29405"
"43",1,NA,1,85,14,1,0.071,0.012,"KEGG:03320","keg",1,"PPAR signaling pathway",2,"MM.480594"
"44",1,NA,1,79,14,1,0.071,0.013,"KEGG:04970","keg",1,"Salivary secretion",2,"MM.157091"
"45",1,NA,1,163,14,1,0.071,0.006,"KEGG:04141","keg",1,"Protein processing in endoplasmic reticulum",2,"MM.29405"
"46",1,NA,1,87,14,1,0.071,0.011,"KEGG:04540","keg",1,"Gap junction",2,"MM.157091"
"47",1,NA,1,146,14,1,0.071,0.007,"KEGG:04310","keg",1,"Wnt signaling pathway",2,"MM.29405"
"48",1,NA,1,64,14,1,0.071,0.016,"KEGG:04213","keg",1,"Longevity regulating pathway - multiple species",2,"MM.157091"
"49",1,NA,1,192,14,1,0.071,0.005,"KEGG:04062","keg",1,"Chemokine signaling pathway",2,"MM.157091"
"50",1,NA,1,114,14,1,0.071,0.009,"KEGG:04725","keg",1,"Cholinergic synapse",2,"MM.157091"
"51",1,NA,1,102,14,1,0.071,0.01,"KEGG:04972","keg",1,"Pancreatic secretion",2,"MM.157091"
"52",1,NA,1,89,14,1,0.071,0.011,"KEGG:04912","keg",1,"GnRH signaling pathway",2,"MM.157091"
"53",1,NA,1,71,14,1,0.071,0.014,"KEGG:04924","keg",1,"Renin secretion",2,"MM.157091"
"54",1,NA,0.51,88,14,2,0.143,0.023,"KEGG:04727","keg",1,"GABAergic synapse",2,"MM.4915,MM.157091"
"55",1,NA,1,277,14,1,0.071,0.004,"KEGG:05166","keg",1,"HTLV-I infection",2,"MM.157091"
"56",1,NA,1,147,14,1,0.071,0.007,"KEGG:04072","keg",1,"Phospholipase D signaling pathway",2,"MM.157091"
"57",1,NA,1,157,14,2,0.143,0.013,"KEGG:04921","keg",1,"Oxytocin signaling pathway",2,"MM.330223,MM.157091"
"58",1,NA,1,98,14,1,0.071,0.01,"KEGG:04713","keg",1,"Circadian entrainment",2,"MM.157091"
"59",1,NA,1,74,14,1,0.071,0.014,"KEGG:04918","keg",1,"Thyroid hormone synthesis",2,"MM.157091"
"60",1,NA,1,84,14,1,0.071,0.012,"KEGG:04350","keg",1,"TGF-beta signaling pathway",2,"MM.29405"
"61",1,NA,1,131,14,1,0.071,0.008,"KEGG:03010","keg",1,"Ribosome",2,"MM.412584"
"62",1,NA,1,126,14,1,0.071,0.008,"KEGG:04611","keg",1,"Platelet activation",2,"MM.157091"
"63",1,NA,1,147,14,2,0.143,0.014,"KEGG:04723","keg",1,"Retrograde endocannabinoid signaling",2,"MM.4915,MM.157091"
"64",1,NA,1,92,14,1,0.071,0.011,"KEGG:04211","keg",1,"Longevity regulating pathway",2,"MM.157091"
"65",1,NA,1,169,14,1,0.071,0.006,"KEGG:04022","keg",1,"cGMP-PKG signaling pathway",2,"MM.157091"
"66",1,NA,1,88,14,1,0.071,0.011,"KEGG:04925","keg",1,"Aldosterone synthesis and secretion",2,"MM.157091"
"67",1,NA,1,258,14,1,0.071,0.004,"KEGG:04010","keg",1,"MAPK signaling pathway",2,"MM.330223"
"68",1,NA,1,87,14,1,0.071,0.011,"KEGG:05410","keg",1,"Hypertrophic cardiomyopathy (HCM)",2,"MM.330223"
"69",1,NA,1,122,14,1,0.071,0.008,"KEGG:04110","keg",1,"Cell cycle",2,"MM.29405"
"70",1,NA,1,138,14,1,0.071,0.007,"KEGG:04371","keg",1,"Apelin signaling pathway",2,"MM.157091"
"71",1,NA,0.578,94,14,2,0.143,0.021,"KEGG:05032","keg",1,"Morphine addiction",2,"MM.4915,MM.157091"
"72",1,NA,1,216,14,1,0.071,0.005,"KEGG:04015","keg",1,"Rap1 signaling pathway",2,"MM.157091"
"73",1,NA,1,61,14,1,0.071,0.016,"KEGG:04721","keg",1,"Synaptic vesicle cycle",2,"MM.5083"
"74",1,NA,1,95,14,1,0.071,0.011,"KEGG:01522","keg",1,"Endocrine resistance",2,"MM.157091"
"75",1,NA,1,114,14,1,0.071,0.009,"KEGG:04724","keg",1,"Glutamatergic synapse",2,"MM.157091"
"76",1,NA,1,205,14,1,0.071,0.005,"KEGG:05168","keg",1,"Herpes simplex infection",2,"MM.142872"
"77",1,NA,1,180,14,1,0.071,0.006,"KEGG:00230","keg",1,"Purine metabolism",2,"MM.157091"
