,location,strand,tissue
249,chr15:90877671-90877758,R,mac
251,chr2:47578752-47578754,R,liv
252,chr1:75119888-75119943,F,mac
253,chr4:44053559-44053563,F,mac
254,chr12:110011024-110011046,F,vis
256,chr7:56145640-56145640,F,cer
258,chr13:24809934-24810013,F,mac
259,chr7:126817407-126817461,R,som
260,chr2:70364521-70364547,F,cer
261,chr3:88286534-88286554,F,cer
263,chr2:156618832-156618853,R,cer
264,chr1:136778996-136779013,F,emb
265,chr1:94846441-94846473,R,som
266,chr5:67484677-67484677,F,som
267,chr12:88016106-88016106,R,mac
268,chr4:137478353-137478367,F,cer
269,chr4:146984271-146984348,F,vis
270,chr2:35106070-35106100,F,mac
271,chr7:140982634-140982634,R,cer
272,chr10:96140203-96140206,R,cer
273,chr8:109937359-109937400,F,mac
274,chr12:77741535-77741582,R,mac
275,chr3:135376810-135376849,F,mac
276,chr4:141205134-141205170,R,lun
278,chr2:41634187-41634187,R,cer
279,chr4:126524188-126524249,F,mac
280,chr1:74521321-74521435,R,liv
281,chr5:137579895-137579939,F,emb
282,chr9:120782092-120782110,F,lun
283,chr7:70238597-70238627,F,lun
284,chr15:84274289-84274334,R,vis
285,chr7:83962659-83962722,R,vis
287,chr5:124791291-124791368,F,vis
288,chr16:22210229-22210229,F,emb
289,chr7:35105560-35105569,R,vis
290,chr12:85341241-85341255,F,som
291,chr2:58259299-58259299,F,mac
292,chr13:42877348-42877377,F,lun
293,chr11:89849097-89849182,F,lun
294,chr9:45981156-45981275,F,lun
295,chr12:74122128-74122128,R,mac
296,chr2:6638884-6638917,R,mac
297,chr17:58691216-58691216,F,cer
298,chr3:92571295-92571299,R,emb
299,chr6:4489580-4489616,F,emb
300,chr18:40955284-40955284,R,emb
301,chr17:34675380-34675381,F,emb
302,chr10:75111301-75111325,R,emb
303,chr8:94023831-94023890,R,mac
304,chr8:93766706-93766735,F,mac
305,chr6:87756797-87756810,R,emb
306,chr15:99552902-99552932,F,cer
310,chr13:41498266-41498311,R,lun
311,chr17:32504116-32504146,R,emb
312,chr14:59332968-59333010,F,mac
313,chr6:70656398-70656440,F,lun
314,chr15:79796541-79796541,F,emb
315,chr12:100365724-100365733,F,mac
316,chr12:9056006-9056061,F,mac
318,chr17:84970870-84970894,R,mac
319,chr3:158640472-158640472,F,mac
320,chr1:195122317-195122320,F,mac
321,chr15:92955567-92955567,F,cer
322,chr2:91450589-91450624,R,cer
323,chrX:47925102-47925177,R,cer
324,chr10:53439508-53439567,R,vis
325,chr2:35513895-35513956,F,lun
326,chr6:71473445-71473473,F,vis
327,chr4:94231291-94231311,F,lun
328,chr17:46108956-46108970,R,vis
329,chr18:36407271-36407271,F,vis
330,chr1:133354063-133354127,R,mac
331,chr11:116659803-116659832,F,cer
332,chr11:110215212-110215237,F,cer
333,chr1:181383156-181383212,F,cer
334,chr10:57500053-57500053,F,mac
335,chr7:80867183-80867220,F,cer
337,chr1:154570147-154570154,F,mac
338,chr18:46699814-46699828,R,mac
339,chr1:121331774-121331789,R,mac
340,chr17:27223613-27223613,F,mac
341,chr7:15417812-15417823,R,mac
342,chr10:40614180-40614180,R,mac
343,chr2:148134931-148134965,R,mac
344,chr19:19387956-19387957,F,mac
345,chr13:74404090-74404100,F,mac
346,chr13:43376450-43376496,F,mac
348,chr10:29002584-29002725,F,mac
349,chr11:118312461-118312512,R,mac
350,chr6:32392150-32392181,R,mac
351,chr4:132752669-132752669,F,mac
352,chrX:100404448-100404466,R,mac
353,chr12:45417532-45417612,F,mac
354,chr6:71369631-71369678,R,som
355,chr5:134904827-134904850,R,som
356,chr14:19487264-19487264,R,mac
357,chr4:30252435-30252437,F,mac
358,chr13:76484540-76484597,R,mac
359,chr4:149758237-149758272,R,mac
360,chr13:82188299-82188339,R,emb
361,chr8:87228744-87228784,F,emb
362,chr10:13191229-13191284,F,cer
363,chr8:86613552-86613568,R,lun
364,chr7:24988396-24988404,F,mac
365,chr7:126588578-126588624,R,mac
367,chr8:29686312-29686313,R,mac
368,chr15:6516745-6516769,F,mac
369,chr3:8493201-8493231,F,mac
370,chr11:5052231-5052262,R,mac
371,chr2:120996744-120996757,F,mac
373,chr3:108338500-108338553,R,mac
374,chr5:123040249-123040312,R,mac
375,chr7:119585244-119585322,F,mac
376,chr4:126523726-126523892,F,mac
377,chr15:98370659-98370660,R,mac
378,chr3:32588627-32588683,F,mac
379,chr7:51730265-51730297,R,cer
380,chr7:11703792-11703817,R,cer
381,chr10:79387338-79387338,F,vis
382,chr7:24689418-24689457,R,vis
383,chr16:20606783-20606794,F,vis
384,chr3:90699148-90699152,F,vis
385,chr9:44147907-44147962,F,vis
386,chr1:175603579-175603602,R,mac
388,chr17:39451815-39451873,F,vis
390,chr16:55891254-55891317,F,emb
391,chr18:38992668-38992727,R,liv
392,chr17:12694832-12694853,R,liv
393,chr11:51894248-51894251,F,vis
394,chr6:122305194-122305289,R,liv
395,chrX:36266221-36266223,F,lun
396,chr16:3823874-3823923,R,som
397,chr17:55552446-55552467,F,som
398,chr7:93054862-93054862,R,vis
399,chr5:34313576-34313618,F,cer
400,chr3:51603603-51603605,R,cer
401,chr7:98532103-98532118,F,som
402,chr10:62456884-62456923,F,liv
403,chr14:49388341-49388364,F,som
404,chr17:28995833-28995848,F,vis
405,chr13:90964786-90964788,R,vis
406,chr7:102084331-102084366,F,cer
407,chr5:139383522-139383549,R,cer
408,chr18:37932445-37932479,F,som
409,chr1:133027471-133027519,R,mac
410,chr9:48356961-48356981,R,liv
411,chr1:182478016-182478047,F,mac
412,chr2:32442746-32442757,F,cer
413,chr17:73855071-73855104,R,mac
414,chr2:26173840-26173878,R,vis
415,chr15:91989596-91989688,F,som
416,chrX:38393901-38393928,F,cer
417,chr16:20631378-20631420,F,cer
418,chr2:152089585-152089645,R,emb
419,chr10:30290995-30290995,F,cer
422,chr10:59695333-59695398,F,mac
423,chr4:61515631-61515633,R,liv
424,chr10:77744868-77744868,R,liv
425,chr11:101183806-101183810,F,liv
426,chr3:146534408-146534475,F,liv
427,chr6:128460880-128460941,R,liv
428,chr18:23181904-23181970,R,liv
429,chr3:108235586-108235587,R,mac
430,chr1:36012878-36012902,F,mac
431,chr17:23401487-23401505,F,cer
432,chr11:115615073-115615076,F,cer
433,chr15:58044975-58045013,R,cer
434,chr5:123275620-123275656,F,som
435,chr12:55125427-55125431,R,emb
436,chr8:74555844-74555849,R,emb
437,chr7:3737827-3737859,F,emb
438,chr9:121338724-121338760,R,emb
439,chr6:127816399-127816399,R,emb
440,chr10:94223070-94223070,R,emb
441,chr11:54822661-54822679,R,vis
442,chr1:136017911-136017936,R,cer
443,chr16:21337084-21337113,F,cer
445,chr9:85546001-85546063,R,mac
446,chr15:77947196-77947231,R,som
447,chr5:134906640-134906706,R,som
448,chr19:5098246-5098300,R,som
449,chr7:81086770-81086850,F,mac
451,chr2:148098720-148098736,R,liv
452,chr2:164531378-164531381,R,mac
453,chr1:22271306-22271329,R,mac
454,chr12:83462454-83462454,F,emb
455,chr1:72807358-72807380,R,vis
456,chr6:108106287-108106287,R,som
457,chr10:127492034-127492076,F,vis
458,chr9:57760560-57760563,F,som
459,chr11:30009099-30009151,R,vis
460,chr8:77996559-77996587,F,mac
461,chr9:44389709-44389713,F,mac
462,chr15:79356915-79356939,R,mac
463,chr3:135545613-135545655,R,mac
464,chr11:97391337-97391411,R,mac
465,chr5:148185881-148185898,F,emb
466,chr19:37243129-37243185,R,som
467,chrX:69171357-69171363,F,liv
468,chr4:57650172-57650174,R,emb
470,chr2:178351962-178351977,F,liv
471,chr15:54942449-54942481,F,liv
472,chr2:90381551-90381606,R,cer
473,chr2:167989032-167989036,F,liv
474,chr3:89222536-89222550,F,liv
475,chr4:49562300-49562392,R,liv
476,chr10:121450719-121450720,R,som
477,chr18:49880749-49880790,R,vis
478,chr7:4293727-4293759,F,cer
479,chr1:154570072-154570111,F,mac
481,chr9:48664288-48664288,F,mac
482,chr14:68540710-68540741,R,lun
483,chr19:10972246-10972252,F,som
484,chr5:96402047-96402061,R,mac
485,chr5:3602085-3602121,R,cer
486,chr3:88702051-88702085,F,mac
487,chr14:117590119-117590173,R,lun
488,chr7:127006524-127006585,R,som
489,chr7:127064734-127064799,R,liv
491,chr7:29494384-29494384,R,som
492,chr13:94600585-94600629,R,lun
493,chr10:114788862-114788915,R,lun
494,chr17:43568682-43568746,R,lun
496,chr2:172658565-172658568,F,cer
497,chr7:15288773-15288812,F,cer
498,chr9:29968267-29968267,F,vis
500,chr14:93171808-93171811,F,cer
501,chr17:35587294-35587332,R,cer
502,chr9:40206316-40206376,R,mac
503,chr2:151802684-151802707,F,mac
504,chr8:14777707-14777752,F,mac
505,chr10:8466985-8466987,F,mac
506,chr2:91825002-91825079,R,mac
507,chr16:4438288-4438296,R,emb
508,chr7:64271717-64271744,F,mac
509,chr14:120046407-120046431,F,mac
511,chr11:6192105-6192200,F,mac
512,chr7:6019252-6019280,F,mac
513,chr7:45234718-45234735,R,mac
516,chr4:132791112-132791164,F,liv
517,chr17:33252996-33253036,R,liv
519,chr13:32810027-32810113,F,lun
520,chr7:44989861-44989862,F,liv
521,chr5:104262068-104262187,R,emb
522,chr15:84367108-84367108,F,emb
524,chr4:151141398-151141398,F,emb
525,chr7:78787733-78787788,F,emb
526,chr7:44680324-44680378,R,emb
527,chr19:59998027-59998129,R,emb
528,chr1:8675833-8675834,F,lun
530,chr11:100971983-100971997,F,cer
531,chrX:128420791-128420792,F,vis
533,chr10:99529516-99529525,F,som
534,chr17:23313839-23313886,R,som
536,chr2:94207585-94207605,F,cer
537,chr9:112079620-112079706,R,cer
538,chr3:136263344-136263443,R,lun
539,chr4:87565844-87565882,F,cer
540,chr11:51133385-51133455,F,lun
541,chr19:41267246-41267251,R,mac
542,chr12:38583126-38583126,R,mac
543,chr10:80660303-80660346,F,vis
544,chr9:103040168-103040228,F,vis
545,chr17:72593216-72593218,F,vis
546,chr10:67308086-67308112,R,vis
547,chr10:120754442-120754508,R,vis
549,chr9:40043997-40044031,R,cer
550,chr8:81924321-81924325,R,cer
551,chr5:108689193-108689202,R,mac
553,chr12:112118054-112118072,R,som
554,chr4:126470490-126470541,R,cer
555,chr14:72119239-72119247,R,cer
556,chr9:35271143-35271143,F,cer
557,chr2:131629676-131629761,F,som
558,chr2:22482099-22482099,R,cer
559,chr9:99260780-99260830,F,lun
560,chr15:37587038-37587134,F,lun
561,chr17:55852286-55852340,R,vis
562,chr4:59720265-59720314,F,vis
563,chr6:5446303-5446364,R,emb
564,chr5:143495374-143495374,R,cer
565,chr11:42149974-42149974,R,cer
566,chr5:9537879-9537880,F,cer
567,chr11:100508535-100508562,R,cer
568,chr8:90363262-90363275,F,cer
569,chr9:62717434-62717436,F,cer
570,chr19:44290311-44290322,F,cer
571,chr14:53861074-53861077,R,cer
572,chrX:135732226-135732230,R,cer
573,chr9:21545383-21545419,R,cer
574,chr9:91162933-91162957,R,cer
575,chr13:58766143-58766151,F,emb
576,chrX:47925031-47925048,R,som
578,chr15:74561579-74561592,R,lun
579,chr19:59960587-59960597,R,som
580,chrX:129197463-129197475,F,emb
581,chr4:114432230-114432230,R,emb
582,chr7:28574966-28575021,F,emb
583,chr2:27906890-27906896,R,emb
584,chr19:30615514-30615519,R,emb
585,chr5:134397971-134397971,F,emb
586,chr1:80219794-80219839,R,emb
587,chr19:47320192-47320203,R,emb
590,chr7:141128056-141128106,R,cer
591,chr11:68717780-68717781,F,cer
592,chr2:52441746-52441747,F,cer
593,chr9:42604994-42605042,R,cer
594,chr11:70580373-70580452,F,som
595,chr1:16090616-16090621,F,mac
596,chr4:152855854-152855856,R,mac
597,chr2:136449750-136449775,F,som
598,chr19:5080769-5080783,R,som
599,chr19:46379537-46379559,R,som
600,chr16:94577861-94577875,F,som
601,chr15:53355080-53355082,F,som
602,chr11:86511061-86511065,R,cer
608,chr12:88874041-88874089,F,mac
609,chr5:111657568-111657603,F,som
610,chr2:127212719-127212758,R,cer
611,chr10:10772505-10772558,R,cer
612,chr9:107400217-107400282,R,mac
613,chr18:77390151-77390172,R,som
614,chr8:11478596-11478628,R,som
616,chr12:86975526-86975526,R,mac
617,chr7:126817815-126817829,F,emb
618,chrX:12449252-12449317,F,emb
619,chr9:63976376-63976388,F,cer
620,chr6:129499224-129499302,F,som
621,chr8:80445510-80445548,F,som
622,chr9:50348625-50348643,R,liv
623,chr3:106888535-106888537,R,mac
624,chr16:8160693-8160693,F,mac
625,chrX:7247418-7247427,R,mac
626,chr4:22579125-22579147,R,mac
627,chr1:60511413-60511450,R,mac
631,chr8:97765407-97765484,R,liv
633,chr12:11413181-11413202,R,som
634,chr19:8904721-8904762,F,som
637,chr12:56221368-56221421,F,som
638,chr7:25396897-25396919,F,mac
639,chr17:86538416-86538442,F,mac
640,chrX:6809910-6809932,F,mac
641,chr2:31972979-31973049,F,mac
642,chr3:127154556-127154619,R,mac
643,chr10:98416765-98416773,F,mac
644,chr15:98462962-98462997,F,mac
645,chr14:54060598-54060643,R,mac
646,chr10:6806225-6806301,R,liv
647,chr1:165988471-165988552,F,liv
648,chr4:57988214-57988222,F,lun
649,chr7:132408288-132408434,R,liv
650,chr3:41839192-41839206,F,cer
651,chr2:148129186-148129205,R,mac
652,chr13:69049463-69049506,R,mac
653,chr18:61111081-61111154,F,mac
654,chr9:111040059-111040061,R,liv
657,chr8:87733120-87733144,R,lun
658,chr12:56221111-56221130,R,lun
659,chr16:96385865-96385930,F,lun
660,chr13:20003392-20003392,R,mac
661,chrX:131071580-131071580,F,mac
662,chr19:5845322-5845372,R,lun
663,chr1:186543714-186543714,F,liv
664,chr2:92201959-92202010,R,liv
665,chr14:54589740-54589771,R,liv
666,chr16:20422840-20422840,F,cer
667,chr15:97736303-97736356,R,cer
668,chr13:44880562-44880563,R,cer
669,chr6:52246098-52246099,R,emb
670,chr8:13175005-13175048,F,emb
671,chr9:30779939-30780009,F,mac
672,chrX:56832615-56832616,R,mac
673,chr4:153001333-153001352,R,cer
674,chr4:136549565-136549589,F,emb
675,chr11:61264689-61264694,R,cer
676,chr12:87771902-87771904,F,cer
677,chr14:20518285-20518285,F,cer
678,chr7:28285411-28285477,R,cer
680,chr10:60489408-60489448,F,liv
681,chr3:90186737-90186744,F,cer
682,chr13:65022131-65022134,R,liv
683,chr2:156234380-156234386,F,liv
684,chr2:61605351-61605385,F,liv
685,chr19:14664574-14664691,R,som
686,chr4:99321146-99321180,R,lun
688,chr19:55305069-55305131,F,lun
689,chr3:89301119-89301157,F,lun
690,chr8:82954064-82954105,R,lun
691,chr15:98418094-98418100,R,cer
692,chr1:89934402-89934420,F,liv
693,chr5:88140904-88140929,R,liv
695,chr17:33234598-33234602,F,liv
696,chr17:12519091-12519141,R,liv
697,chr17:31361789-31361879,R,liv
698,chr15:52955629-52955634,R,liv
699,chr14:29724036-29724159,F,liv
700,chr14:29724411-29724554,F,liv
701,chr9:48357041-48357093,R,liv
703,chr15:79515005-79515009,R,som
704,chr7:127667947-127667992,R,mac
705,chr15:86335178-86335178,R,som
706,chr2:165575401-165575419,R,mac
707,chr17:35628556-35628607,R,mac
708,chr8:59133453-59133455,R,som
709,chr17:81578527-81578550,R,som
714,chr8:46831771-46831861,R,lun
715,chr10:17637402-17637472,R,cer
716,chr5:89962215-89962279,F,cer
717,chr17:17531813-17531876,F,som
718,chr1:99807543-99807583,R,som
719,chr3:108412281-108412365,F,mac
721,chr19:14664216-14664223,R,vis
723,chr11:51847705-51847783,F,cer
724,chr6:57632634-57632655,F,som
725,chr11:69796718-69796765,R,som
726,chr7:75181995-75182053,R,cer
727,chr11:78004842-78004874,F,cer
728,chr17:65440319-65440351,R,lun
729,chr14:73681819-73681845,R,mac
730,chr6:29233439-29233440,F,cer
731,chr12:74503477-74503520,F,lun
732,chr19:32685982-32686062,F,lun
733,chr4:142525474-142525476,F,mac
735,chr2:28036232-28036281,F,som
736,chr9:82626640-82626670,R,som
737,chr7:15125991-15126008,R,lun
738,chr7:101324361-101324421,F,lun
739,chr15:79175215-79175318,F,lun
741,chr1:187155693-187155714,F,liv
743,chr7:18278377-18278434,F,som
744,chr5:3934280-3934300,F,som
745,chr5:113461539-113461609,R,vis
746,chr10:39059464-39059523,F,som
747,chr4:124160534-124160534,F,vis
748,chr14:32867515-32867517,R,mac
749,chr14:62097172-62097256,F,mac
750,chr4:49618348-49618359,R,som
751,chr7:66568870-66568929,F,mac
753,chr14:50827972-50828047,R,liv
754,chrX:78603278-78603278,R,mac
755,chr9:57563681-57563736,R,cer
756,chr11:69469434-69469438,F,vis
757,chr11:100772848-100772895,R,lun
758,chr9:88280430-88280473,R,cer
759,chr16:32563592-32563648,F,cer
760,chr16:18412441-18412455,F,emb
761,chr3:135376032-135376077,R,mac
762,chr6:38617288-38617302,R,cer
763,chr15:76487485-76487520,F,emb
764,chr9:56417392-56417407,R,emb
765,chr6:83016984-83017017,R,cer
766,chr9:68802619-68802619,R,cer
767,chr6:118527827-118527894,R,liv
769,chr9:75469820-75469837,R,cer
771,chr9:56594675-56594728,R,lun
772,chr19:44189131-44189188,R,vis
773,chr4:59283246-59283301,F,vis
774,chr7:30000671-30000683,F,cer
775,chr4:142479375-142479408,R,vis
778,chr7:121081522-121081522,F,lun
779,chr12:81679531-81679577,R,lun
780,chr15:78762173-78762239,F,cer
781,chr18:34471845-34471881,R,vis
782,chr15:96470645-96470701,R,cer
783,chr5:121465151-121465167,F,som
784,chr7:5758669-5758752,R,mac
785,chr7:49842998-49843036,F,cer
786,chr2:124939120-124939135,F,cer
787,chr7:121525582-121525652,F,lun
788,chr9:20775829-20775907,F,lun
789,chr9:110901637-110901718,R,lun
791,chr4:137515770-137515776,F,vis
792,chr6:125288477-125288531,F,lun
793,chr15:73235550-73235550,R,vis
794,chr1:45290440-45290526,F,emb
795,chr11:5869827-5869851,R,cer
796,chr2:119042636-119042675,F,vis
797,chr1:10024970-10024999,F,som
798,chr7:144600179-144600180,F,emb
801,chr4:10801713-10801749,F,cer
803,chr14:24000954-24000954,F,cer
804,chr15:81293941-81293968,F,cer
805,chr4:19497210-19497251,R,mac
806,chr13:19365421-19365447,R,liv
808,chr12:110698170-110698170,F,lun
809,chr11:116487750-116487786,F,mac
811,chr6:36318206-36318284,F,lun
812,chrM:1655-1667,F,vis
813,chr18:61250193-61250228,F,mac
814,chr3:5733876-5733877,F,mac
815,chr4:128758079-128758079,F,mac
816,chr14:120170868-120170872,F,mac
817,chr7:58526178-58526253,F,mac
818,chr8:113914326-113914391,R,mac
819,chr13:104008731-104008739,R,mac
820,chr10:69386566-69386582,F,mac
821,chr3:136607056-136607121,F,mac
822,chr2:120996067-120996097,F,mac
823,chr11:118614076-118614081,R,mac
824,chr1:136145612-136145612,R,som
825,chr19:21845424-21845512,F,lun
826,chr8:122521538-122521562,R,cer
827,chr10:75704733-75704762,F,cer
828,chr17:25523245-25523259,R,cer
829,chr14:63547986-63547996,F,cer
830,chr9:15071807-15071808,R,cer
831,chr15:76349836-76349872,R,cer
832,chr1:32117293-32117324,F,emb
833,chr3:96793939-96793952,R,vis
834,chr11:101787281-101787336,R,vis
836,chrX:99875279-99875314,F,som
837,chr14:53948617-53948624,R,emb
838,chr1:132543325-132543386,R,emb
840,chr7:72522860-72522862,R,vis
841,chr2:164547927-164547952,R,mac
842,chr9:58834345-58834405,R,mac
843,chr3:106631089-106631124,R,emb
849,chr19:46092940-46092967,R,mac
850,chrX:52693169-52693204,F,som
851,chr13:47257910-47257912,F,mac
856,chr14:30203277-30203280,R,mac
857,chr2:22440391-22440396,R,som
858,chr2:150730806-150730844,R,som
860,chr5:23188253-23188307,R,cer
861,chr7:81218707-81218730,R,lun
862,chr11:6420904-6420956,R,mac
863,chr9:123950937-123950951,F,mac
864,chr7:18159718-18159744,R,mac
865,chrX:135822081-135822086,F,mac
866,chr13:55580586-55580663,R,mac
867,chr10:40572666-40572713,F,mac
