,location,strand,tissue
15,chr14:64312731-64312758,F,cer
38,chr11:114668317-114668344,F,cer
82,chr2:51860109-51860116,F,cer
83,chr8:120345520-120345564,F,cer
165,chr13:58401210-58401220,R,cer
166,chr8:73687523-73687529,F,cer
167,chr11:72082781-72082801,R,cer
169,chr16:4200281-4200285,R,cer
216,chr11:120449408-120449457,R,cer
268,chr4:137478353-137478367,F,cer
362,chr10:13191229-13191284,F,cer
406,chr7:102084331-102084366,F,cer
417,chr16:20631378-20631420,F,cer
419,chr10:30290995-30290995,F,cer
431,chr17:23401487-23401505,F,cer
442,chr1:136017911-136017936,R,cer
443,chr16:21337084-21337113,F,cer
501,chr17:35587294-35587332,R,cer
550,chr8:81924321-81924325,R,cer
554,chr4:126470490-126470541,R,cer
555,chr14:72119239-72119247,R,cer
556,chr9:35271143-35271143,F,cer
666,chr16:20422840-20422840,F,cer
681,chr3:90186737-90186744,F,cer
691,chr15:98418094-98418100,R,cer
758,chr9:88280430-88280473,R,cer
769,chr9:75469820-75469837,R,cer
786,chr2:124939120-124939135,F,cer
803,chr14:24000954-24000954,F,cer
804,chr15:81293941-81293968,F,cer
879,chr2:118900217-118900236,R,cer
942,chr2:77617611-77617655,R,cer
943,chr12:77499413-77499435,R,cer
79,chr6:48770967-48770967,R,mac
337,chr1:154570147-154570154,F,mac
338,chr18:46699814-46699828,R,mac
339,chr1:121331774-121331789,R,mac
340,chr17:27223613-27223613,F,mac
341,chr7:15417812-15417823,R,mac
342,chr10:40614180-40614180,R,mac
343,chr2:148134931-148134965,R,mac
344,chr19:19387956-19387957,F,mac
345,chr13:74404090-74404100,F,mac
357,chr4:30252435-30252437,F,mac
642,chr3:127154556-127154619,R,mac
761,chr3:135376032-135376077,R,mac
837,chr14:53948617-53948624,R,emb
838,chr1:132543325-132543386,R,emb
946,chr4:153143652-153143733,R,lun
49,chr13:52993502-52993525,R,mac
68,chr19:41827484-41827518,R,mac
69,chr9:122003101-122003103,R,mac
70,chr1:62638232-62638255,F,mac
71,chr6:145079052-145079074,F,mac
72,chr19:5688992-5689019,R,mac
73,chr1:173485636-173485648,R,mac
74,chr6:88869527-88869563,R,mac
75,chr7:95725231-95725231,R,mac
76,chr11:115783327-115783327,F,mac
77,chr15:100427876-100427882,F,mac
78,chr9:77423393-77423393,R,mac
112,chr1:101602802-101602805,F,mac
125,chr7:133528803-133528803,R,vis
131,chr18:23182815-23182876,R,mac
154,chr2:29711209-29711247,F,vis
168,chr14:87318272-87318297,R,vis
206,chr15:82727565-82727582,R,mac
222,chr16:51950908-51950954,F,vis
243,chr11:53264322-53264331,F,emb
269,chr4:146984271-146984348,F,vis
285,chr7:83962659-83962722,R,vis
365,chr7:126588578-126588624,R,mac
367,chr8:29686312-29686313,R,mac
368,chr15:6516745-6516769,F,mac
369,chr3:8493201-8493231,F,mac
405,chr13:90964786-90964788,R,vis
463,chr3:135545613-135545655,R,mac
479,chr1:154570072-154570111,F,mac
561,chr17:55852286-55852340,R,vis
562,chr4:59720265-59720314,F,vis
595,chr1:16090616-16090621,F,mac
640,chrX:6809910-6809932,F,mac
641,chr2:31972979-31973049,F,mac
661,chrX:131071580-131071580,F,mac
841,chr2:164547927-164547952,R,mac
842,chr9:58834345-58834405,R,mac
866,chr13:55580586-55580663,R,mac
873,chr19:12865601-12865604,F,mac
885,chr2:152916849-152916884,R,vis
891,chrX:155846743-155846774,F,mac
892,chrX:131232289-131232297,F,mac
995,chr1:36456796-36456867,F,mac
539,chr4:87565844-87565882,F,cer
774,chr7:30000671-30000683,F,cer
94,chr10:114815359-114815366,F,mac
95,chr18:61240162-61240179,F,mac
96,chrX:81543879-81543879,R,mac
97,chr19:11671853-11671876,R,mac
98,chr18:61237344-61237383,F,mac
303,chr8:94023831-94023890,R,mac
386,chr1:175603579-175603602,R,mac
871,chr2:80382056-80382056,F,mac
971,chr12:88873796-88873834,F,mac
410,chr9:48356961-48356981,R,liv
680,chr10:60489408-60489448,F,liv
910,chr2:121956712-121956757,F,liv
912,chrX:11830509-11830535,R,liv
913,chr18:58335814-58335819,R,liv
963,chr8:56548802-56548844,F,som
826,chr8:122521538-122521562,R,cer
827,chr10:75704733-75704762,F,cer
828,chr17:25523245-25523259,R,cer
829,chr14:63547986-63547996,F,cer
830,chr9:15071807-15071808,R,cer
26,chr1:191730048-191730053,F,liv
647,chr1:165988471-165988552,F,liv
649,chr7:132408288-132408434,R,liv
669,chr6:52246098-52246099,R,emb
187,chr1:159248820-159248854,F,som
391,chr18:38992668-38992727,R,liv
664,chr2:92201959-92202010,R,liv
824,chr1:136145612-136145612,R,som
833,chr3:96793939-96793952,R,vis
577,chr17:87341988-87342004,R,som
753,chr14:50827972-50828047,R,liv
874,chr13:112807480-112807507,F,liv
875,chr9:52442281-52442344,R,liv
46,chr17:25000953-25000970,R,mac
110,chr9:50498712-50498810,R,mac
120,chr19:46092845-46092905,R,liv
121,chr1:173863929-173863973,R,liv
136,chr7:65928560-65928562,R,liv
227,chr8:27203356-27203358,F,mac
228,chr7:110564885-110564885,R,mac
246,chr3:84900492-84900578,F,mac
394,chr6:122305194-122305289,R,liv
646,chr10:6806225-6806301,R,liv
654,chr9:111040059-111040061,R,liv
849,chr19:46092940-46092967,R,mac
739,chr15:79175215-79175318,F,lun
380,chr7:11703792-11703817,R,cer
496,chr2:172658565-172658568,F,cer
694,chr8:73705802-73705870,F,cer
179,chr6:66826120-66826186,F,mac
358,chr13:76484540-76484597,R,mac
508,chr7:64271717-64271744,F,mac
961,chr11:72023415-72023462,R,vis
