,location,strand,tissue
912,chrX:11830509-11830535,R,liv
913,chr18:58335814-58335819,R,liv
918,chr10:75217993-75218030,R,liv
920,chr1:75404960-75404964,F,mac
932,chr6:13395030-13395033,R,lun
942,chr2:77617611-77617655,R,cer
943,chr12:77499413-77499435,R,cer
951,chr8:87947631-87947636,F,cer
952,chr1:21247994-21248055,F,liv
953,chr7:140624475-140624526,F,liv
954,chr19:39516380-39516386,R,liv
955,chr6:84286609-84286611,R,liv
956,chr9:107510249-107510349,R,liv
958,chrX:32627419-32627445,F,vis
963,chr8:56548802-56548844,F,som
969,chr11:68773059-68773098,R,lun
970,chr18:69811716-69811780,F,mac
973,chr5:122991988-122992027,R,som
974,chr6:112662410-112662458,R,som
975,chr15:95356643-95356688,R,som
983,chr6:6832064-6832085,R,som
985,chr4:100844887-100844888,R,lun
986,chr3:96348736-96348738,R,emb
988,chr10:58935014-58935014,R,vis
989,chr2:135749277-135749308,F,som
990,chr4:98289101-98289101,F,som
995,chr1:36456796-36456867,F,mac
996,chr5:143420007-143420009,R,lun
